startup_name,district,missing_fields,verification_level,confidence_score
Intellect Intelligence Kanchipuram 2355,Kanchipuram,website,2,73
Helix Genomics Kanchipuram 2361,Kanchipuram,founded_year; founders,3,88
Urban Foods Kanchipuram 2367,Kanchipuram,website,2,73
Drive Drives Kanchipuram 2371,Kanchipuram,founders,3,90
Pulse Care Kanchipuram 2376,Kanchipuram,founded_year,2,70
Auto Castings Kanchipuram 2379,Kanchipuram,website,2,73
NexusAI Analytics Kanchipuram 2381,Kanchipuram,founders,3,90
Soil Farm Kanchipuram 2391,Kanchipuram,website; founded_year; founders,2,68
Agile Force Kanchipuram 2401,Kanchipuram,founders,3,90
Horizon Aerospace Kanchipuram 2403,Kanchipuram,website,2,73
Pure Brands Kanchipuram 2406,Kanchipuram,founded_year,2,70
Clean Power Kanchipuram 2411,Kanchipuram,founders,3,90
Pulse Life Kanchipuram 2415,Kanchipuram,website,2,73
Lend Fintech Kanchipuram 2421,Kanchipuram,founded_year; founders,3,88
Agile Sphere Kanchipuram 2427,Kanchipuram,website,2,73
Indu Castings Kanchipuram 2431,Kanchipuram,founders,3,90
Charge Energy Kanchipuram 2436,Kanchipuram,founded_year,2,70
Enzyme Therapeutics Kanchipuram 2439,Kanchipuram,website,2,73
Clinix Clinics Kanchipuram 2441,Kanchipuram,founders,3,90
Skill Verse Kanchipuram 2451,Kanchipuram,website; founded_year; founders,2,68
Propel Propulsion Kanchipuram 2461,Kanchipuram,founders,3,90
Renew Biofuels Kanchipuram 2463,Kanchipuram,website,2,73
Agile Sphere Kanchipuram 2466,Kanchipuram,founded_year,2,70
Pure Snacks Kanchipuram 2471,Kanchipuram,founders,3,90
Electro Motors Kanchipuram 2475,Kanchipuram,website,2,73
Aero Aerospace Kanchipuram 2481,Kanchipuram,founded_year; founders,3,88
Robo Sensors Kanchipuram 2487,Kanchipuram,website,2,73
Bio Enzymes Kanchipuram 2491,Kanchipuram,founders,3,90
Indu Castings Kanchipuram 2496,Kanchipuram,founded_year,2,70
Lend Wallet Kanchipuram 2499,Kanchipuram,website,2,73
Power EV Kanchipuram 2501,Kanchipuram,founders,3,90
Intellect Analytics Kanchipuram 2511,Kanchipuram,website; founded_year; founders,2,68
Uzhava Farm Kanchipuram 2521,Kanchipuram,founders,3,90
Daily Brands Kanchipuram 2523,Kanchipuram,website,2,73
Robo Dynamics Kanchipuram 2526,Kanchipuram,founded_year,2,70
Agile Works Kanchipuram 2531,Kanchipuram,founders,3,90
Forge Castings Kanchipuram 2535,Kanchipuram,website,2,73
Bio Renewables Kanchipuram 2541,Kanchipuram,founded_year; founders,3,88
Soil Fresh Kanchipuram 2547,Kanchipuram,website,2,73
Fin Fintech Kanchipuram 2551,Kanchipuram,founders,3,90
Enzyme Biotech Kanchipuram 2556,Kanchipuram,founded_year,2,70
Cosmo Aerospace Kanchipuram 2559,Kanchipuram,website,2,73
Indu Castings Kanchipuram 2561,Kanchipuram,founders,3,90
Pulse MedTech Kanchipuram 2571,Kanchipuram,website; founded_year; founders,2,68
Skill Skills Kanchipuram 2581,Kanchipuram,founders,3,90
Agile Sphere Kanchipuram 2583,Kanchipuram,website,2,73
Soil Farm Kanchipuram 2586,Kanchipuram,founded_year,2,70
Micro Photonics Kanchipuram 2591,Kanchipuram,founders,3,90
Helix Life Sciences Kanchipuram 2595,Kanchipuram,website,2,73
Pure Foods Kanchipuram 2601,Kanchipuram,founded_year; founders,3,88
Guru Learning Kanchipuram 2607,Kanchipuram,website,2,73
Aero Aerospace Kanchipuram 2611,Kanchipuram,founders,3,90
Lend Fintech Kanchipuram 2616,Kanchipuram,founded_year,2,70
Sustain Energy Kanchipuram 2619,Kanchipuram,website,2,73
Ferment Therapeutics Kanchipuram 2621,Kanchipuram,founders,3,90
Volt Battery Kanchipuram 2631,Kanchipuram,website; founded_year; founders,2,68
Cred Fintech Tiruvallur 2641,Tiruvallur,website; founded_year; founders,2,68
Indu Automation Tiruvallur 2651,Tiruvallur,founders,3,90
Cognitive Sense Tiruvallur 2653,Tiruvallur,website,2,73
Spark Charging Tiruvallur 2656,Tiruvallur,founded_year,2,70
Cardio Diagnostics Tiruvallur 2661,Tiruvallur,founders,3,90
Royal Essentials Tiruvallur 2665,Tiruvallur,website,2,73
Skill Academy Tiruvallur 2671,Tiruvallur,founded_year; founders,3,88
Apex Automation Tiruvallur 2677,Tiruvallur,website,2,73
Photon Robotics Tiruvallur 2681,Tiruvallur,founders,3,90
Cloud Flow Tiruvallur 2686,Tiruvallur,founded_year,2,70
Kisan Innovations Tiruvallur 2689,Tiruvallur,website,2,73
Pure Goods Tiruvallur 2691,Tiruvallur,founders,3,90
Aero Cosmos Tiruvallur 2701,Tiruvallur,website; founded_year; founders,2,68
Cell Genomics Tiruvallur 2711,Tiruvallur,founders,3,90
Care Therapeutics Tiruvallur 2713,Tiruvallur,website,2,73
Indu Automation Tiruvallur 2716,Tiruvallur,founded_year,2,70
Ampere Drives Tiruvallur 2721,Tiruvallur,founders,3,90
Cloud Flow Tiruvallur 2725,Tiruvallur,website,2,73
Cognitive Analytics Tiruvallur 2731,Tiruvallur,founded_year; founders,3,88
Bio Biosciences Tiruvallur 2737,Tiruvallur,website,2,73
Crop Farm Tiruvallur 2741,Tiruvallur,founders,3,90
Nano Technologies Tiruvallur 2746,Tiruvallur,founded_year,2,70
Vidya Tutor Tiruvallur 2749,Tiruvallur,website,2,73
Cloud Desk Tiruvallur 2751,Tiruvallur,founders,3,90
Aqua Power Tiruvallur 2761,Tiruvallur,website; founded_year; founders,2,68
Kuber Fintech Tiruvallur 2771,Tiruvallur,founders,3,90
Charge Charging Tiruvallur 2773,Tiruvallur,website,2,73
Microbe Labs Tiruvallur 2776,Tiruvallur,founded_year,2,70
Indu Automation Tiruvallur 2781,Tiruvallur,founders,3,90
Nano Aerospace Tiruvallur 2785,Tiruvallur,website,2,73
Care Clinics Tiruvallur 2791,Tiruvallur,founded_year; founders,3,88
Cred Banking Tiruvallur 2797,Tiruvallur,website,2,73
Skill Verse Tiruvallur 2801,Tiruvallur,founders,3,90
Kisan Farm Tiruvallur 2806,Tiruvallur,founded_year,2,70
Cognitive Cognition Tiruvallur 2809,Tiruvallur,website,2,73
Astra Propulsion Tiruvallur 2811,Tiruvallur,founders,3,90
Pure Snacks Tiruvallur 2821,Tiruvallur,website; founded_year; founders,2,68
Aero Cosmos Tiruvallur 2831,Tiruvallur,founders,3,90
Prime Automation Tiruvallur 2833,Tiruvallur,website,2,73
Cred Fintech Tiruvallur 2836,Tiruvallur,founded_year,2,70
Helix Enzymes Tiruvallur 2841,Tiruvallur,founders,3,90
Kisan Crops Tiruvallur 2845,Tiruvallur,website,2,73
Drive EV Tiruvallur 2851,Tiruvallur,founded_year; founders,3,88
Propel Cosmos Tiruvallur 2857,Tiruvallur,website,2,73
Synapse Analytics Tiruvallur 2861,Tiruvallur,founders,3,90
Skill Tutor Tiruvallur 2866,Tiruvallur,founded_year,2,70
Care Health Tiruvallur 2869,Tiruvallur,website,2,73
BioAgri Farm Tiruvallur 2871,Tiruvallur,founders,3,90
Cloud Flow Tiruvallur 2881,Tiruvallur,website; founded_year; founders,2,68
Clean Renewables Tiruvallur 2891,Tiruvallur,founders,3,90
Microbe Genomics Tiruvallur 2893,Tiruvallur,website,2,73
Aero Cosmos Tiruvallur 2896,Tiruvallur,founded_year,2,70
Penny Fintech Tiruvallur 2901,Tiruvallur,founders,3,90
Ace Academy Tiruvallur 2905,Tiruvallur,website,2,73
Microbe Enzymes Madurai 2911,Madurai,website; founded_year; founders,2,68
Electro Energy Madurai 2921,Madurai,founders,3,90
Dexter Academy Madurai 2923,Madurai,website,2,73
Neuro Clinics Madurai 2926,Madurai,founded_year,2,70
Intellect Analytics Madurai 2931,Madurai,founders,3,90
Carbon Recycle Madurai 2935,Madurai,website,2,73
Uzhava Farm Madurai 2941,Madurai,founded_year; founders,3,88
Power Power Madurai 2947,Madurai,website,2,73
Flow Sphere Madurai 2951,Madurai,founders,3,90
Pure Snacks Madurai 2956,Madurai,founded_year,2,70
Propel Photonics Madurai 2959,Madurai,website,2,73
Terra Sustainability Madurai 2961,Madurai,founders,3,90
Fin Fintech Madurai 2971,Madurai,website; founded_year; founders,2,68
Indu Tech Madurai 2981,Madurai,founders,3,90
Algo Sense Madurai 2983,Madurai,website,2,73
EcoRide EV Madurai 2986,Madurai,founded_year,2,75
Pulse Biomed Madurai 2991,Madurai,founders,3,90
Royal Living Madurai 2995,Madurai,website,2,73
Skill Tutor Madurai 3001,Madurai,founded_year; founders,3,88
Apex Tech Madurai 3007,Madurai,website,2,73
Micro Dynamics Madurai 3011,Madurai,founders,3,90
Flow Works Madurai 3016,Madurai,founded_year,2,70
Uzhava Innovations Madurai 3019,Madurai,website,2,73
Pure Organics Madurai 3021,Madurai,founders,3,90
Aero Telemetry Madurai 3031,Madurai,website; founded_year; founders,2,68
Gene Therapeutics Madurai 3041,Madurai,founders,3,90
Neuro Clinics Madurai 3043,Madurai,website,2,73
Indu Tech Madurai 3046,Madurai,founded_year,2,70
Spark Vehicles Madurai 3051,Madurai,founders,3,90
Flow Works Madurai 3055,Madurai,website,2,73
Algo Analytics Madurai 3061,Madurai,founded_year; founders,3,88
SynBio Biotech Madurai 3067,Madurai,website,2,73
Paddy Farm Madurai 3071,Madurai,founders,3,90
Propel Photonics Madurai 3076,Madurai,founded_year,2,75
Vidya Tech Madurai 3079,Madurai,website,2,73
Flow Force Madurai 3081,Madurai,founders,3,90
Eco CleanTech Madurai 3091,Madurai,website; founded_year; founders,2,68
Settlement Fintech Madurai 3101,Madurai,founders,3,90
Drive EV Madurai 3103,Madurai,website,2,73
Bio Life Sciences Madurai 3106,Madurai,founded_year,2,70
Indu Tech Madurai 3111,Madurai,founders,3,90
Propel Technologies Madurai 3115,Madurai,website,2,73
Stack Flow Tiruchirappalli 3121,Tiruchirappalli,website; founded_year; founders,2,68
Carbon Renewables Tiruchirappalli 3131,Tiruchirappalli,founders,3,90
Bio Labs Tiruchirappalli 3133,Tiruchirappalli,website,2,73
Aero Cosmos Tiruchirappalli 3136,Tiruchirappalli,founded_year,2,70
Penny Fintech Tiruchirappalli 3141,Tiruchirappalli,founders,3,90
Ace Academy Tiruchirappalli 3145,Tiruchirappalli,website,2,73
Indu Automation Tiruchirappalli 3151,Tiruchirappalli,founded_year; founders,3,88
Terra Recycle Tiruchirappalli 3157,Tiruchirappalli,website,2,73
Heal MedTech Tiruchirappalli 3161,Tiruchirappalli,founders,3,90
Cognitive Analytics Tiruchirappalli 3166,Tiruchirappalli,founded_year,2,70
Ampere Power Tiruchirappalli 3169,Tiruchirappalli,website,2,73
Skill Skills Tiruchirappalli 3171,Tiruchirappalli,founders,3,90
Nano Photonics Tiruchirappalli 3181,Tiruchirappalli,website; founded_year; founders,2,68
Pure Foods Tiruchirappalli 3191,Tiruchirappalli,founders,3,90
Cred Wealth Tiruchirappalli 3193,Tiruchirappalli,website,2,73
Clean CleanTech Tiruchirappalli 3196,Tiruchirappalli,founded_year,2,70
Aero Cosmos Tiruchirappalli 3201,Tiruchirappalli,founders,3,90
Cognitive Intelligence Tiruchirappalli 3205,Tiruchirappalli,website,2,73
SynBio Life Sciences Tiruchirappalli 3211,Tiruchirappalli,founded_year; founders,3,88
Urban Living Tiruchirappalli 3217,Tiruchirappalli,website,2,73
Charge Battery Tiruchirappalli 3221,Tiruchirappalli,founders,3,90
Care Health Tiruchirappalli 3226,Tiruchirappalli,founded_year,2,70
Auto Automation Tiruchirappalli 3229,Tiruchirappalli,website,2,73
Turing Analytics Tiruchirappalli 3231,Tiruchirappalli,founders,3,90
Kisan Farm Tiruchirappalli 3241,Tiruchirappalli,website; founded_year; founders,2,68
Stack Base Tiruchirappalli 3251,Tiruchirappalli,founders,3,90
Horizon Cosmos Tiruchirappalli 3253,Tiruchirappalli,website,2,73
Pure Essentials Tiruchirappalli 3256,Tiruchirappalli,founded_year,2,70
Sustain Enviro Tiruchirappalli 3261,Tiruchirappalli,founders,3,90
Care Clinics Tiruchirappalli 3265,Tiruchirappalli,website,2,73
Cred Fintech Tiruchirappalli 3271,Tiruchirappalli,founded_year; founders,3,88
Stack Flow Tiruchirappalli 3277,Tiruchirappalli,website,2,73
Indu Automation Tiruchirappalli 3281,Tiruchirappalli,founders,3,90
Power Power Tiruchirappalli 3286,Tiruchirappalli,founded_year,2,70
Microbe Enzymes Tiruchirappalli 3289,Tiruchirappalli,website,2,73
Cardio Sensors Tiruchirappalli 3291,Tiruchirappalli,founders,3,90
Skill Tech Tiruchirappalli 3301,Tiruchirappalli,website; founded_year; founders,2,68
Indu Tech Salem 3311,Salem,website; founded_year; founders,2,68
Pulse Clinics Salem 3321,Salem,founders,3,90
Paddy Spices Salem 3323,Salem,website,2,73
NexusAI Analytics Salem 3326,Salem,founded_year,2,70
Skill Verse Salem 3331,Salem,founders,3,90
Zenith Telemetry Salem 3335,Salem,website,2,73
Micro Propulsion Salem 3341,Salem,founded_year; founders,3,88
Clinix Sensors Salem 3347,Salem,website,2,73
Pure Snacks Salem 3351,Salem,founders,3,90
Carbon Sustainability Salem 3356,Salem,founded_year,2,70
Hyper Force Salem 3359,Salem,website,2,73
Aero Telemetry Salem 3361,Salem,founders,3,90
Cell Labs Salem 3371,Salem,website; founded_year; founders,2,68
Drive EV Salem 3381,Salem,founders,3,90
Dexter Lab Salem 3383,Salem,website,2,73
Clinix Biomed Salem 3386,Salem,founded_year,2,70
Algo Analytics Salem 3391,Salem,founders,3,90
Pure Solar Salem 3395,Salem,website,2,73
Paddy Farm Salem 3401,Salem,founded_year; founders,3,88
EcoRide Mobility Salem 3407,Salem,website,2,73
Hyper Works Salem 3411,Salem,founders,3,90
Pure Organics Salem 3416,Salem,founded_year,2,70
Micro Systems Salem 3419,Salem,website,2,73
Clean Renewables Salem 3421,Salem,founders,3,90
Settlement Fintech Salem 3431,Salem,website; founded_year; founders,2,68
Indu Tech Salem 3441,Salem,founders,3,90
NexusAI Sense Salem 3443,Salem,website,2,73
Charge Vehicles Salem 3446,Salem,founded_year,2,70
Neuro MedTech Salem 3451,Salem,founders,3,90
Royal Goods Salem 3455,Salem,website,2,73
Skill Skills Salem 3461,Salem,founded_year; founders,3,88
Apex Tech Salem 3467,Salem,website,2,73
Robo Photonics Salem 3471,Salem,founders,3,90
Hyper Force Salem 3476,Salem,founded_year,2,70
Paddy Innovations Salem 3479,Salem,website,2,73
Skill Tech Erode 3481,Erode,website; founded_year; founders,2,68
Photon Sensors Erode 3491,Erode,founders,3,90
Terra CleanTech Erode 3493,Erode,website,2,73
Desk Flow Erode 3496,Erode,founded_year,2,70
Pure Naturals Erode 3501,Erode,founders,3,90
Ampere EV Erode 3505,Erode,website,2,73
Aero Cosmos Erode 3511,Erode,founded_year; founders,3,88
Nano Technologies Erode 3517,Erode,website,2,73
Cell Biosciences Erode 3521,Erode,founders,3,90
Indu Automation Erode 3526,Erode,founded_year,2,70
Cred Wallet Erode 3529,Erode,website,2,73
Kinetic Mobility Erode 3531,Erode,founders,3,90
Cognitive Analytics Erode 3541,Erode,website; founded_year; founders,2,68
Crop Farm Erode 3551,Erode,founders,3,90
Daily Essentials Erode 3553,Erode,website,2,73
Nano Aerospace Erode 3556,Erode,founded_year,2,70
Desk Desk Erode 3561,Erode,founders,3,90
Forge Automation Erode 3565,Erode,website,2,73
Solar Recycle Erode 3571,Erode,founded_year; founders,3,88
Kisan Fresh Erode 3577,Erode,website,2,73
Kuber Fintech Erode 3581,Erode,founders,3,90
Microbe Genomics Erode 3586,Erode,founded_year,2,70
Cosmo Cosmos Erode 3589,Erode,website,2,73
Indu Automation Erode 3591,Erode,founders,3,90
Care Therapeutics Erode 3601,Erode,website; founded_year; founders,2,68
Skill Learning Erode 3611,Erode,founders,3,90
Desk Flow Erode 3613,Erode,website,2,73
Kisan Farm Erode 3616,Erode,founded_year,2,70
Astra Instruments Erode 3621,Erode,founders,3,90
SynBio Enzymes Erode 3625,Erode,website,2,73
Propel Aerospace KrishnagiriHosur 3631,Krishnagiri (Hosur),website; founded_year; founders,2,68
Pure Brews KrishnagiriHosur 3641,Krishnagiri (Hosur),founders,3,90
Fin Wealth KrishnagiriHosur 3643,Krishnagiri (Hosur),website,2,73
Pure Recycle KrishnagiriHosur 3646,Krishnagiri (Hosur),founded_year,2,70
Aero Telemetry KrishnagiriHosur 3651,Krishnagiri (Hosur),founders,3,90
Algo Intelligence KrishnagiriHosur 3655,Krishnagiri (Hosur),website,2,73
SynBio Biosciences KrishnagiriHosur 3661,Krishnagiri (Hosur),founded_year; founders,3,88
Urban Snacks KrishnagiriHosur 3667,Krishnagiri (Hosur),website,2,73
Kinetic Motors KrishnagiriHosur 3671,Krishnagiri (Hosur),founders,3,90
Neuro Therapeutics KrishnagiriHosur 3676,Krishnagiri (Hosur),founded_year,2,70
Auto Tech KrishnagiriHosur 3679,Krishnagiri (Hosur),website,2,73
Intellect Analytics KrishnagiriHosur 3681,Krishnagiri (Hosur),founders,3,90
Uzhava Farm KrishnagiriHosur 3691,Krishnagiri (Hosur),website; founded_year; founders,2,68
Agile Sphere KrishnagiriHosur 3701,Krishnagiri (Hosur),founders,3,90
Horizon Telemetry KrishnagiriHosur 3703,Krishnagiri (Hosur),website,2,73
Pure Living KrishnagiriHosur 3706,Krishnagiri (Hosur),founded_year,2,75
Solar Solar KrishnagiriHosur 3711,Krishnagiri (Hosur),founders,3,90
Neuro Health KrishnagiriHosur 3715,Krishnagiri (Hosur),website,2,73
Fin Fintech KrishnagiriHosur 3721,Krishnagiri (Hosur),founded_year; founders,3,88
Agile Works KrishnagiriHosur 3727,Krishnagiri (Hosur),website,2,73
Indu Tech KrishnagiriHosur 3731,Krishnagiri (Hosur),founders,3,90
Electro Charging KrishnagiriHosur 3736,Krishnagiri (Hosur),founded_year,2,70
Microbe Biotech KrishnagiriHosur 3739,Krishnagiri (Hosur),website,2,73
Pulse Diagnostics KrishnagiriHosur 3741,Krishnagiri (Hosur),founders,3,90
Skill Academy KrishnagiriHosur 3751,Krishnagiri (Hosur),website; founded_year; founders,2,68
Micro Robotics KrishnagiriHosur 3761,Krishnagiri (Hosur),founders,3,90
Eco Recycle KrishnagiriHosur 3763,Krishnagiri (Hosur),website,2,73
Agile Works KrishnagiriHosur 3766,Krishnagiri (Hosur),founded_year,2,70
Stack Sphere Tiruppur 3771,Tiruppur,website; founded_year; founders,2,68
Green Sustainability Tiruppur 3781,Tiruppur,founders,3,90
Helix Therapeutics Tiruppur 3783,Tiruppur,website,2,73
Aero Aerospace Tiruppur 3786,Tiruppur,founded_year,2,70
Settlement Fintech Tiruppur 3791,Tiruppur,founders,3,90
Ace Learning Tiruppur 3795,Tiruppur,website,2,73
Indu Castings Tiruppur 3801,Tiruppur,founded_year; founders,3,88
Renew Energy Tiruppur 3807,Tiruppur,website,2,73
Neuro Biomed Tiruppur 3811,Tiruppur,founders,3,90
Intellect Analytics Tiruppur 3816,Tiruppur,founded_year,2,70
Electro Battery Tiruppur 3819,Tiruppur,website,2,73
Skill Tutor Tiruppur 3821,Tiruppur,founders,3,90
Robo Dynamics Tiruppur 3831,Tiruppur,website; founded_year; founders,2,68
Pure Organics Tiruppur 3841,Tiruppur,founders,3,90
Lend Wealth Tiruppur 3843,Tiruppur,website,2,73
Eco Renewables Tiruppur 3846,Tiruppur,founded_year,2,70
Aero Aerospace Tiruppur 3851,Tiruppur,founders,3,90
Intellect Intelligence Tiruppur 3855,Tiruppur,website,2,73
Enzyme Labs Tiruppur 3861,Tiruppur,founded_year; founders,3,88
Urban Brews Tiruppur 3867,Tiruppur,website,2,73
Ampere Vehicles Tiruppur 3871,Tiruppur,founders,3,90
Pulse MedTech Tiruppur 3876,Tiruppur,founded_year,2,70
Auto Castings Tiruppur 3879,Tiruppur,website,2,73
NexusAI Analytics Tiruppur 3881,Tiruppur,founders,3,90
Soil Farm Tiruppur 3891,Tiruppur,website; founded_year; founders,2,68
Stack Flow Vellore 3901,Vellore,website; founded_year; founders,2,68
Bio Biofuels Vellore 3911,Vellore,founders,3,90
SynBio Biosciences Vellore 3913,Vellore,website,2,73
Aero Satellites Vellore 3916,Vellore,founded_year,2,70
Penny Fintech Vellore 3921,Vellore,founders,3,90
Ace Tech Vellore 3925,Vellore,website,2,73
Indu Manufacturing Vellore 3931,Vellore,founded_year; founders,3,88
Aqua CleanTech Vellore 3937,Vellore,website,2,73
Heal Care Vellore 3941,Vellore,founders,3,90
Cognitive Analytics Vellore 3946,Vellore,founded_year,2,70
Charge EV Vellore 3949,Vellore,website,2,73
Skill Lab Vellore 3951,Vellore,founders,3,90
Nano Technologies Vellore 3961,Vellore,website; founded_year; founders,2,68
Pure Brands Vellore 3971,Vellore,founders,3,90
Cred Wealth Vellore 3973,Vellore,website,2,73
Renew Power Vellore 3976,Vellore,founded_year,2,70
Aero Satellites Vellore 3981,Vellore,founders,3,90
Cognitive Intelligence Vellore 3985,Vellore,website,2,73
Microbe Biotech Vellore 3991,Vellore,founded_year; founders,3,88
Urban Essentials Vellore 3997,Vellore,website,2,73
Volt Energy Vellore 4001,Vellore,founders,3,90
Care Clinics Vellore 4006,Vellore,founded_year,2,70
Auto Manufacturing Vellore 4009,Vellore,website,2,73
Turing Analytics Vellore 4011,Vellore,founders,3,90
Nano Technologies Thanjavur 4021,Thanjavur,website; founded_year; founders,2,68
Pure Brands Thanjavur 4031,Thanjavur,founders,3,90
Cred Wealth Thanjavur 4033,Thanjavur,website,2,73
Clean Power Thanjavur 4036,Thanjavur,founded_year,2,70
Aero Satellites Thanjavur 4041,Thanjavur,founders,3,90
Cognitive Intelligence Thanjavur 4045,Thanjavur,website,2,73
Bio Life Sciences Thanjavur 4051,Thanjavur,founded_year; founders,3,88
Urban Essentials Thanjavur 4057,Thanjavur,website,2,73
Charge Energy Thanjavur 4061,Thanjavur,founders,3,90
Care Clinics Thanjavur 4066,Thanjavur,founded_year,2,70
Auto Manufacturing Thanjavur 4069,Thanjavur,website,2,73
Turing Analytics Thanjavur 4071,Thanjavur,founders,3,90
Kisan Farm Thanjavur 4081,Thanjavur,website; founded_year; founders,2,68
Agile Base Thanjavur 4091,Thanjavur,founders,3,90
Horizon Satellites Thanjavur 4093,Thanjavur,website,2,73
Pure Snacks Thanjavur 4096,Thanjavur,founded_year,2,70
Sustain Sustainability Thanjavur 4101,Thanjavur,founders,3,90
Care Therapeutics Thanjavur 4105,Thanjavur,website,2,73
Cred Fintech Thanjavur 4111,Thanjavur,founded_year; founders,3,88
Agile Flow Thanjavur 4117,Thanjavur,website,2,73
Indu Manufacturing Thanjavur 4121,Thanjavur,founders,3,90
Astra Orbital Tirunelveli 4126,Tirunelveli,website; founded_year; founders,2,68
Ferment Enzymes Tirunelveli 4136,Tirunelveli,founders,3,90
NanoMed Health Tirunelveli 4138,Tirunelveli,website,2,73
Matrix Systems Tirunelveli 4141,Tirunelveli,founded_year,2,70
Watt Mobility Tirunelveli 4146,Tirunelveli,founders,3,90
SaaSify Scale Tirunelveli 4150,Tirunelveli,website,2,73
Vector Brain Tirunelveli 4156,Tirunelveli,founded_year; founders,3,88
Microbe Labs Tirunelveli 4162,Tirunelveli,website,2,73
Farm Bio Tirunelveli 4166,Tirunelveli,founders,3,90
Dynamic Aerospace Tirunelveli 4171,Tirunelveli,founded_year,2,70
Tutor Academy Tirunelveli 4174,Tirunelveli,website,2,73
SaaSify Hub Tirunelveli 4176,Tirunelveli,founders,3,90
Renew Recycle Tirunelveli 4186,Tirunelveli,website; founded_year; founders,2,68
Rupee Finance Tirunelveli 4196,Tirunelveli,founders,3,90
Electro Power Tirunelveli 4198,Tirunelveli,website,2,73
SynBio Biotech Tirunelveli 4201,Tirunelveli,founded_year,2,70
Matrix Systems Tirunelveli 4206,Tirunelveli,founders,3,90
Dynamic Photonics Tirunelveli 4210,Tirunelveli,website,2,73
NanoMed Therapeutics Tirunelveli 4216,Tirunelveli,founded_year; founders,3,88
Indu Manufacturing Thoothukudi 4221,Thoothukudi,website; founded_year; founders,2,68
Care Sensors Thoothukudi 4231,Thoothukudi,founders,3,90
BioAgri Spices Thoothukudi 4233,Thoothukudi,website,2,73
Turing Analytics Thoothukudi 4236,Thoothukudi,founded_year,2,75
Skill Tech Thoothukudi 4241,Thoothukudi,founders,3,90
Zenith Satellites Thoothukudi 4245,Thoothukudi,website,2,73
Astra Sensors Thoothukudi 4251,Thoothukudi,founded_year; founders,3,88
Cardio Care Thoothukudi 4257,Thoothukudi,website,2,73
Pure Naturals Thoothukudi 4261,Thoothukudi,founders,3,90
Eco Energy Thoothukudi 4266,Thoothukudi,founded_year,2,70
Hyper Base Thoothukudi 4269,Thoothukudi,website,2,73
Aero Satellites Thoothukudi 4271,Thoothukudi,founders,3,83
Protein Labs Thoothukudi 4281,Thoothukudi,website; founded_year; founders,2,68
Ampere Mobility Thoothukudi 4291,Thoothukudi,founders,3,90
Dexter Ed Thoothukudi 4293,Thoothukudi,website,2,73
Spark Energy Kanyakumari 4296,Kanyakumari,website; founded_year; founders,2,68
Vision Brain Kanyakumari 4306,Kanyakumari,founders,3,90
Quantum Robotics Kanyakumari 4308,Kanyakumari,website,2,65
Bright Verse Kanyakumari 4311,Kanyakumari,founded_year,2,70
Terra Bio Kanyakumari 4316,Kanyakumari,founders,3,90
Pay Lend Kanyakumari 4320,Kanyakumari,website,2,73
Omni HQ Kanyakumari 4326,Kanyakumari,founded_year; founders,2,80
Neural Labs Kanyakumari 4332,Kanyakumari,website,2,73
Eco Sustainability Kanyakumari 4336,Kanyakumari,founders,3,90
Astra Space Kanyakumari 4341,Kanyakumari,founded_year,2,70
Organic Foods Kanyakumari 4344,Kanyakumari,website,2,65
Vault Finance Kanyakumari 4346,Kanyakumari,founders,3,90
Matrix Engineering Kanyakumari 4356,Kanyakumari,website; founded_year; founders,2,68
Cure Biomed Kanyakumari 4366,Kanyakumari,founders,3,90
Agro Agro Kanyakumari 4368,Kanyakumari,website,2,73
Pulse Life Dindigul 4371,Dindigul,website; founded_year; founders,2,68
Skill Class Dindigul 4381,Dindigul,founders,3,90
Scale Sphere Dindigul 4383,Dindigul,website,2,73
Soil Farm Dindigul 4386,Dindigul,founded_year,2,70
Micro Aerospace Dindigul 4391,Dindigul,founders,3,90
Helix Enzymes Dindigul 4395,Dindigul,website,2,73
Pure Brews Dindigul 4401,Dindigul,founded_year; founders,3,88
Guru Verse Dindigul 4407,Dindigul,website,2,73
Aero Aerospace Dindigul 4411,Dindigul,founders,3,90
Lend Fintech Dindigul 4416,Dindigul,founded_year,2,70
Terra Biofuels Dindigul 4419,Dindigul,website,2,73
Ferment Labs Dindigul 4421,Dindigul,founders,3,90
Ampere Motors Dindigul 4431,Dindigul,website; founded_year; founders,2,68
Aqua CleanTech Namakkal 4441,Namakkal,website; founded_year; founders,2,68
Kuber Fintech Namakkal 4451,Namakkal,founders,3,90
Charge EV Namakkal 4453,Namakkal,website,2,73
Bio Labs Namakkal 4456,Namakkal,founded_year,2,70
Indu Automation Namakkal 4461,Namakkal,founders,3,90
Nano Technologies Namakkal 4465,Namakkal,website,2,73
Care Health Namakkal 4471,Namakkal,founded_year; founders,3,88
Cred Banking Namakkal 4477,Namakkal,website,2,73
Skill Ed Namakkal 4481,Namakkal,founders,3,90
Kisan Farm Namakkal 4486,Namakkal,founded_year,2,70
Cognitive Cognition Namakkal 4489,Namakkal,website,2,73
Astra Systems Namakkal 4491,Namakkal,founders,3,90
Pure Essentials Namakkal 4501,Namakkal,website; founded_year; founders,2,68
Sustain Renewables Virudhunagar 4506,Virudhunagar,website; founded_year; founders,2,68
Ledger Finance Virudhunagar 4516,Virudhunagar,founders,3,90
Volt Energy Virudhunagar 4518,Virudhunagar,website,2,73
